rank,title,score,vote_count,release_date,regions,types,actors,url,cover_url
26,告白,8.8,739661,2010-06-05,日本,"剧情,悬疑","['松隆子', '冈田将生', '木村佳乃', '西井幸人', '桥本爱', '芦田爱菜', '三吉彩花', '藤原薰', '井之胁海', '清水尚弥']",https://movie.douban.com/subject/4268598/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p689520756.jpg
27,神探夏洛克：最后的誓言,9.0,79272,2014-01-12,英国,"剧情,犯罪,悬疑","['本尼迪克特·康伯巴奇', '马丁·弗瑞曼', '鲁珀特·格雷夫斯', '马克·加蒂斯', '尤娜·斯塔布斯', '拉斯·米克尔森', '安德鲁·斯科特', '露易丝·布瑞丽', '阿曼达·阿宾顿', '乔纳森·阿里斯']",https://movie.douban.com/subject/25804790/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2164957248.jpg
28,斯隆女士,8.9,134728,2016-11-11,"美国,法国,英国","剧情,悬疑","['杰西卡·查斯坦', '古古·姆巴塔-劳', '约翰·利思戈', '艾丽森·皮尔', '迈克尔·斯图巴', '马克·斯特朗', '杰克·莱西', '道格拉斯·史密斯', '萨姆·沃特森', '迪伦·贝克']",https://movie.douban.com/subject/26703158/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2356912156.jpg
29,罗生门,8.8,356441,1950-08-26,日本,"剧情,犯罪,悬疑","['三船敏郎', '京町子', '森雅之', '志村乔', '千秋实', '上田吉二郎', '本间文子', '加东大介']",https://movie.douban.com/subject/1291879/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1598883511.jpg
30,名侦探柯南：贝克街的亡灵,8.8,301330,2023-04-04,日本,"动画,冒险,悬疑","['高山南', '山崎和佳奈', '神谷明', '山口胜平', '林原惠美', '岩居由希子', '高木涉', '大谷育江', '绪方惠美', '高乃丽']",https://movie.douban.com/subject/2286642/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2890515833.jpg
31,心迷宫,8.7,613052,2015-10-16,中国大陆,"剧情,犯罪,悬疑","['霍卫民', '王笑天', '罗芸', '杨瑜珍', '孙黎', '邵胜杰', '曹西安', '贾致钢', '朱自清', '王梓尘']",https://movie.douban.com/subject/25917973/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2926020289.jpg
32,消失的爱人,8.7,1066288,2014-09-26,美国,"剧情,犯罪,悬疑,惊悚","['本·阿弗莱克', '裴淳华', '尼尔·帕特里克·哈里斯', '凯莉·库恩', '泰勒·派瑞', '金·迪肯斯', '米西·派勒', '波伊德·霍布鲁克', '艾米丽·拉塔科斯基', '雪拉·渥德']",https://movie.douban.com/subject/21318488/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2221768894.jpg
33,恐怖直播,8.7,724614,2013-07-31,韩国,"剧情,犯罪,悬疑","['河正宇', '李璟荣', '全慧珍', '李大卫', '金弘波', '崔正贤', '崔大勋', '姜信哲', '韩成天', '孙成灿']",https://movie.douban.com/subject/21360417/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2016930906.jpg
34,记忆碎片,8.7,665744,2000-09-05,美国,"犯罪,剧情,悬疑,惊悚","['盖·皮尔斯', '凯瑞-安·莫斯', '乔·潘托里亚诺', '小马克·布恩', '拉什·费加', '乔雅·福克斯', '斯蒂芬·托布罗斯基', '哈里特·桑塞姆·哈里斯', '托马斯·列农', '考乐姆·吉斯·雷尼']",https://movie.douban.com/subject/1304447/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p641688453.jpg
35,电锯惊魂,8.7,608881,2004-01-19,美国,"悬疑,惊悚,恐怖","['雷·沃纳尔', '加利·艾尔维斯', '丹尼·格洛弗', '梁振邦', '迪娜·迈耶', '迈克·巴特斯', '保罗·古德勒支', '迈克尔·爱默生', '本尼托·马丁内斯', '肖妮·史密斯']",https://movie.douban.com/subject/1417598/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p726839485.jpg
36,蓝白红三部曲之红,8.8,137374,1994-05-12,"法国,波兰,瑞士","剧情,爱情,悬疑","['伊莲娜·雅各布', '让-路易·特兰蒂尼昂', '弗雷德里奎·费德', '让-皮耶·罗利特', '塞缪尔·勒·比汉', '马里恩·斯泰伦斯', '特科·切里奥', '伯纳德·埃斯卡隆', '让·施莱格尔', '埃尔兹别塔·亚辛斯卡']",https://movie.douban.com/subject/1292047/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173726043.jpg
37,公民凯恩,8.8,132331,1941-09-05,美国,"剧情,悬疑","['奥逊·威尔斯', '约瑟夫·科顿', '多萝西·康明戈尔', '阿格妮丝·摩尔海德', '埃弗雷特·斯隆', '哈里·香农', '雷·柯林斯', '鲁斯·沃里克', '保罗·斯图尔特']",https://movie.douban.com/subject/1292288/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1474928139.jpg
38,蜡笔小新：谜团！花之天下春日部学院,9.0,52357,2021-07-30,日本,"动画,悬疑","['小林由美子', '林玉绪', '广桥凉', '一龙斋贞友', '稻田彻', '龟井芳子', '兴梠里美', '真柴摩利', '森川智之', '村濑步']",https://movie.douban.com/subject/35286583/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2666651888.jpg
39,因果报应,8.7,410147,2024-11-29,印度,"动作,犯罪,悬疑","['维杰·西图帕提', '阿努拉格·卡施亚普', '玛玛塔·莫汉达斯', '那塔拉简·苏布拉马尼亚姆', '阿比拉米', '迪维亚·巴拉蒂', '辛加姆普利', '阿鲁多斯', '穆尼什坎特', '萨沙纳·纳米达斯']",https://movie.douban.com/subject/36934908/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2915350868.jpg
40,谍影重重2,8.7,397373,2004-11-14,"美国,德国","动作,悬疑,惊悚","['马特·达蒙', '布莱恩·考克斯', '琼·艾伦', '卡尔·厄本', '弗朗卡·波滕特', '朱丽娅·斯蒂尔斯', '加布里埃尔·曼', '马尔顿·索克斯', '汤姆·加洛普', '约翰·贝德福德·劳埃德']",https://movie.douban.com/subject/1308767/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p667644866.jpg
41,误杀瞒天记,8.7,294258,2022-04-15,印度,"剧情,犯罪,悬疑","['阿贾耶·德乌干', '塔布', '施芮娅·萨兰', '拉贾特·卡普尔', '伊西塔·杜塔', '莫伦诺·贾达夫', '皮拉桑纳·凯特卡尔', '尤盖莎·索南', '帕拉斯莫什·帕拉布', '瑞瑟·查达哈']",https://movie.douban.com/subject/26419637/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2870295964.jpg
42,后窗,8.7,232744,1954-08-01,美国,"悬疑,惊悚","['詹姆斯·斯图尔特', '格蕾丝·凯利', '温戴尔·柯瑞', '瑟尔玛·瑞特', '雷蒙德·布尔', '朱迪思·伊夫林', '罗斯·巴格达萨里安', '乔金·达西', '萨拉·伯纳', '弗兰克·卡迪']",https://movie.douban.com/subject/1299080/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p998913501.jpg
43,迷魂记,8.7,162029,1958-05-09,美国,"爱情,悬疑,惊悚","['詹姆斯·斯图尔特', '金·诺瓦克', '芭芭拉·贝尔·戈迪斯', '汤姆·赫尔莫', '亨瑞·琼斯', '雷蒙德·贝利', '埃伦·科比', '康斯坦丁肖恩', '李·帕特里克', '丹尼·鲍沙其']",https://movie.douban.com/subject/1297294/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1275162115.jpg
44,名侦探柯南：通向天国的倒计时,8.7,155808,2001-04-21,日本,"动画,动作,悬疑,惊悚","['高山南', '山崎和佳奈', '神谷明', '山口胜平', '林原惠美', '岩居由希子', '高木涉', '大谷育江', '堀之纪', '立木文彦']",https://movie.douban.com/subject/2357703/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p453730108.jpg
